[2016-03-13 21:27:02.186] log4j - 17604  INFO [restartedMain] --- Application: Starting Application on DESKTOP-UQDOSCM with PID 17604 (D:\Documents\OneDrive\Documents\project\IntellijPro\blog\target\classes started by lenovo in D:\Documents\OneDrive\Documents\project\IntellijPro\blog)
[2016-03-13 22:03:21.681] log4j - 17604  INFO [restartedMain] --- TableMetadata: HHH000126: Indexes: [username]
[2016-03-13 22:03:21.756] log4j - 17604  INFO [restartedMain] --- TableMetadata: HHH000261: Table found: blog.blog_content
[2016-03-13 22:03:21.756] log4j - 17604  INFO [restartedMain] --- TableMetadata: HHH000037: Columns: [blog_content, id, blog_simple_content_id]
[2016-03-13 22:03:21.756] log4j - 17604  INFO [restartedMain] --- TableMetadata: HHH000108: Foreign keys: [blog_content_ibfk_1]
[2016-03-13 22:03:21.756] log4j - 17604  INFO [restartedMain] --- TableMetadata: HHH000126: Indexes: [blog_simple_content_id, primary]
[2016-03-13 22:03:21.820] log4j - 17604  INFO [restartedMain] --- TableMetadata: HHH000261: Table found: blog.blog_content_type
[2016-03-13 22:03:21.821] log4j - 17604  INFO [restartedMain] --- TableMetadata: HHH000037: Columns: [type_name, id]
[2016-03-13 22:03:21.821] log4j - 17604  INFO [restartedMain] --- TableMetadata: HHH000108: Foreign keys: []
[2016-03-13 22:03:21.821] log4j - 17604  INFO [restartedMain] --- TableMetadata: HHH000126: Indexes: [type_name, primary]
[2016-03-13 22:03:21.866] log4j - 17604  INFO [restartedMain] --- TableMetadata: HHH000261: Table found: blog.blog_simple_content
[2016-03-13 22:03:21.866] log4j - 17604  INFO [restartedMain] --- TableMetadata: HHH000037: Columns: [blog_type_id, blog_user, archives_id, blog_create_time, id, blog_title]
[2016-03-13 22:03:21.867] log4j - 17604  INFO [restartedMain] --- TableMetadata: HHH000108: Foreign keys: [blog_simple_content_ibfk_1, blog_simple_content_ibfk_2, blog_simple_content_ibfk_3]
[2016-03-13 22:03:21.867] log4j - 17604  INFO [restartedMain] --- TableMetadata: HHH000126: Indexes: [blog_type_id, blog_user, archives_id, primary]
[2016-03-13 22:03:21.889] log4j - 17604  INFO [restartedMain] --- TableMetadata: HHH000261: Table found: blog.contact
[2016-03-13 22:03:21.889] log4j - 17604  INFO [restartedMain] --- TableMetadata: HHH000037: Columns: [subject, id, contact_username, message, email]
[2016-03-13 22:03:21.889] log4j - 17604  INFO [restartedMain] --- TableMetadata: HHH000108: Foreign keys: []
[2016-03-13 22:03:21.889] log4j - 17604  INFO [restartedMain] --- TableMetadata: HHH000126: Indexes: [primary]
[2016-03-13 22:03:21.923] log4j - 17604  INFO [restartedMain] --- TableMetadata: HHH000261: Table found: blog.users
[2016-03-13 22:03:21.923] log4j - 17604  INFO [restartedMain] --- TableMetadata: HHH000037: Columns: [password, code, is_pass, enabled, username]
[2016-03-13 22:03:21.923] log4j - 17604  INFO [restartedMain] --- TableMetadata: HHH000108: Foreign keys: []
[2016-03-13 22:03:21.923] log4j - 17604  INFO [restartedMain] --- TableMetadata: HHH000126: Indexes: [primary]
[2016-03-13 22:03:21.924] log4j - 17604  INFO [restartedMain] --- SchemaUpdate: HHH000232: Schema update complete
[2016-03-13 22:03:21.955] log4j - 17604  INFO [restartedMain] --- ScriptUtils: Executing SQL script from URL [file:/D:/Documents/OneDrive/Documents/project/IntellijPro/blog/target/classes/data.sql]
[2016-03-13 22:03:21.958] log4j - 17604  INFO [restartedMain] --- ScriptUtils: Executed SQL script from URL [file:/D:/Documents/OneDrive/Documents/project/IntellijPro/blog/target/classes/data.sql] in 3 ms.
[2016-03-13 22:03:22.251] log4j - 17604  INFO [restartedMain] --- RequestMappingHandlerAdapter: Looking for @ControllerAdvice: org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@1792bb4a: startup date [Sun Mar 13 22:03:14 CST 2016]; root of context hierarchy
[2016-03-13 22:03:22.266] log4j - 17604  INFO [restartedMain] --- RequestMappingHandlerMapping: Mapped "{[/search]}" onto public java.lang.String com.zbeboy.blog.web.BlogController.search(java.lang.String,org.springframework.ui.ModelMap,javax.servlet.http.HttpServletRequest)
[2016-03-13 22:03:22.266] log4j - 17604  INFO [restartedMain] --- RequestMappingHandlerMapping: Mapped "{[/articleDatas]}" onto public java.util.Map<java.lang.String, java.lang.Object> com.zbeboy.blog.web.BlogController.articleDatas(int,int,int)
[2016-03-13 22:03:22.266] log4j - 17604  INFO [restartedMain] --- RequestMappingHandlerMapping: Mapped "{[/article]}" onto public java.lang.String com.zbeboy.blog.web.BlogController.singleArticle(int,org.springframework.ui.ModelMap,javax.servlet.http.HttpServletRequest)
[2016-03-13 22:03:22.267] log4j - 17604  INFO [restartedMain] --- RequestMappingHandlerMapping: Mapped "{[/user/saveArticle],methods=[POST]}" onto public java.util.Map<java.lang.String, java.lang.Object> com.zbeboy.blog.web.BlogController.saveArtitcle(java.lang.String)
[2016-03-13 22:03:22.267] log4j - 17604  INFO [restartedMain] --- RequestMappingHandlerMapping: Mapped "{[/saveContact]}" onto public java.lang.String com.zbeboy.blog.web.ContactController.contact(com.zbeboy.blog.domain.entity.ContactEntity,javax.servlet.http.HttpServletRequest,org.springframework.ui.ModelMap)
[2016-03-13 22:03:22.272] log4j - 17604  INFO [restartedMain] --- RequestMappingHandlerMapping: Mapped "{[/]}" onto public java.lang.String com.zbeboy.blog.web.MainController.home(org.springframework.ui.ModelMap,javax.servlet.http.HttpServletRequest)
[2016-03-13 22:03:22.272] log4j - 17604  INFO [restartedMain] --- RequestMappingHandlerMapping: Mapped "{[/contact]}" onto public java.lang.String com.zbeboy.blog.web.MainController.contact(org.springframework.ui.ModelMap,javax.servlet.http.HttpServletRequest)
[2016-03-13 22:03:22.272] log4j - 17604  INFO [restartedMain] --- RequestMappingHandlerMapping: Mapped "{[/full]}" onto public java.lang.String com.zbeboy.blog.web.MainController.blog(org.springframework.ui.ModelMap,javax.servlet.http.HttpServletRequest)
[2016-03-13 22:03:22.272] log4j - 17604  INFO [restartedMain] --- RequestMappingHandlerMapping: Mapped "{[/about]}" onto public java.lang.String com.zbeboy.blog.web.MainController.about(org.springframework.ui.ModelMap,javax.servlet.http.HttpServletRequest)
[2016-03-13 22:03:22.273] log4j - 17604  INFO [restartedMain] --- RequestMappingHandlerMapping: Mapped "{[/login],methods=[GET]}" onto public java.lang.String com.zbeboy.blog.web.MainController.login(org.springframework.ui.ModelMap,javax.servlet.http.HttpServletRequest)
[2016-03-13 22:03:22.274] log4j - 17604  INFO [restartedMain] --- RequestMappingHandlerMapping: Mapped "{[/startCaptcha],methods=[GET]}" onto public java.lang.String com.zbeboy.blog.web.MainController.startCaptcha(javax.servlet.http.HttpServletRequest)
[2016-03-13 22:03:22.274] log4j - 17604  INFO [restartedMain] --- RequestMappingHandlerMapping: Mapped "{[/loginError],methods=[GET]}" onto public java.lang.String com.zbeboy.blog.web.MainController.loginError(org.springframework.ui.ModelMap,javax.servlet.http.HttpServletRequest)
[2016-03-13 22:03:22.274] log4j - 17604  INFO [restartedMain] --- RequestMappingHandlerMapping: Mapped "{[/verifyCaptcha],methods=[POST]}" onto public com.zbeboy.blog.data.AjaxData com.zbeboy.blog.web.MainController.verifyCaptcha(javax.servlet.http.HttpServletRequest)
[2016-03-13 22:03:22.274] log4j - 17604  INFO [restartedMain] --- RequestMappingHandlerMapping: Mapped "{[/regist]}" onto public java.util.Map<java.lang.String, java.lang.Object> com.zbeboy.blog.web.MainController.regist(com.zbeboy.blog.vo.RegistVo,org.springframework.validation.BindingResult)
[2016-03-13 22:03:22.275] log4j - 17604  INFO [restartedMain] --- RequestMappingHandlerMapping: Mapped "{[/user/sendBlog]}" onto public java.lang.String com.zbeboy.blog.web.MainController.sendBlog(org.springframework.ui.ModelMap,javax.servlet.http.HttpServletRequest)
[2016-03-13 22:03:22.275] log4j - 17604  INFO [restartedMain] --- RequestMappingHandlerMapping: Mapped "{[/checkEmail]}" onto public java.util.Map<java.lang.String, java.lang.Object> com.zbeboy.blog.web.MainController.checkEmail(java.lang.String)
[2016-03-13 22:03:22.278] log4j - 17604  INFO [restartedMain] --- RequestMappingHandlerMapping: Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
[2016-03-13 22:03:22.280] log4j - 17604  INFO [restartedMain] --- RequestMappingHandlerMapping: Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
[2016-03-13 22:03:22.299] log4j - 17604  INFO [restartedMain] --- SimpleUrlHandlerMapping: Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
[2016-03-13 22:03:22.299] log4j - 17604  INFO [restartedMain] --- SimpleUrlHandlerMapping: Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
[2016-03-13 22:03:22.319] log4j - 17604  INFO [restartedMain] --- SimpleUrlHandlerMapping: Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
[2016-03-13 22:03:22.524] log4j - 17604  INFO [restartedMain] --- VelocityConfigurer: ClasspathResourceLoader with name 'springMacro' added to configured VelocityEngine
[2016-03-13 22:03:22.644] log4j - 17604  INFO [restartedMain] --- OptionalLiveReloadServer: LiveReload server is running on port 35729
[2016-03-13 22:03:22.752] log4j - 17604  INFO [restartedMain] --- AnnotationMBeanExporter: Registering beans for JMX exposure on startup
[2016-03-13 22:03:22.773] log4j - 17604  INFO [restartedMain] --- TomcatEmbeddedServletContainer: Tomcat started on port(s): 8080 (http)
[2016-03-13 22:03:22.775] log4j - 17604  INFO [restartedMain] --- Application: Started Application in 8.403 seconds (JVM running for 2182.058)
[2016-03-13 22:03:25.286] log4j - 17604  INFO [http-nio-8080-exec-1] --- [/]: Initializing Spring FrameworkServlet 'dispatcherServlet'
[2016-03-13 22:03:25.287] log4j - 17604  INFO [http-nio-8080-exec-1] --- DispatcherServlet: FrameworkServlet 'dispatcherServlet': initialization started
[2016-03-13 22:03:25.292] log4j - 17604  INFO [http-nio-8080-exec-1] --- DispatcherServlet: FrameworkServlet 'dispatcherServlet': initialization completed in 5 ms
[2016-03-13 22:04:48.879] log4j - 15988  INFO [restartedMain] --- Application: Starting Application on DESKTOP-UQDOSCM with PID 15988 (D:\Documents\OneDrive\Documents\project\IntellijPro\blog\target\classes started by lenovo in D:\Documents\OneDrive\Documents\project\IntellijPro\blog)
[2016-03-13 22:04:48.886] log4j - 15988  INFO [restartedMain] --- Application: No active profile set, falling back to default profiles: default
[2016-03-13 22:04:49.079] log4j - 15988  INFO [restartedMain] --- AnnotationConfigEmbeddedWebApplicationContext: Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@15f31ff8: startup date [Sun Mar 13 22:04:49 CST 2016]; root of context hierarchy
[2016-03-13 22:04:52.663] log4j - 15988  INFO [restartedMain] --- PostProcessorRegistrationDelegate$BeanPostProcessorChecker: Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [class org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$bfc23ba9] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2016-03-13 22:04:53.844] log4j - 15988  INFO [restartedMain] --- TomcatEmbeddedServletContainer: Tomcat initialized with port(s): 8080 (http)
[2016-03-13 22:04:53.892] log4j - 15988  INFO [restartedMain] --- StandardService: Starting service Tomcat
[2016-03-13 22:04:53.893] log4j - 15988  INFO [restartedMain] --- StandardEngine: Starting Servlet Engine: Apache Tomcat/8.0.30
[2016-03-13 22:04:54.679] log4j - 15988  INFO [localhost-startStop-1] --- [/]: Initializing Spring embedded WebApplicationContext
[2016-03-13 22:04:54.680] log4j - 15988  INFO [localhost-startStop-1] --- ContextLoader: Root WebApplicationContext: initialization completed in 5624 ms
[2016-03-13 22:04:56.392] log4j - 15988  INFO [localhost-startStop-1] --- FilterRegistrationBean: Mapping filter: 'characterEncodingFilter' to: [/*]
[2016-03-13 22:04:56.393] log4j - 15988  INFO [localhost-startStop-1] --- FilterRegistrationBean: Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
[2016-03-13 22:04:56.394] log4j - 15988  INFO [localhost-startStop-1] --- FilterRegistrationBean: Mapping filter: 'httpPutFormContentFilter' to: [/*]
[2016-03-13 22:04:56.394] log4j - 15988  INFO [localhost-startStop-1] --- FilterRegistrationBean: Mapping filter: 'requestContextFilter' to: [/*]
[2016-03-13 22:04:56.397] log4j - 15988  INFO [localhost-startStop-1] --- DelegatingFilterProxyRegistrationBean: Mapping filter: 'springSecurityFilterChain' to: [/*]
[2016-03-13 22:04:56.398] log4j - 15988  INFO [localhost-startStop-1] --- ServletRegistrationBean: Mapping servlet: 'dispatcherServlet' to [/]
[2016-03-13 22:04:57.251] log4j - 15988  INFO [localhost-startStop-1] --- AuthenticationManagerConfiguration: 

Using default security password: 3cccd546-76fb-4d58-aff2-f85c97205a99

[2016-03-13 22:04:57.266] log4j - 15988  INFO [localhost-startStop-1] --- DefaultSecurityFilterChain: Creating filter chain: Ant [pattern='/css/**'], []
[2016-03-13 22:04:57.266] log4j - 15988  INFO [localhost-startStop-1] --- DefaultSecurityFilterChain: Creating filter chain: Ant [pattern='/js/**'], []
[2016-03-13 22:04:57.266] log4j - 15988  INFO [localhost-startStop-1] --- DefaultSecurityFilterChain: Creating filter chain: Ant [pattern='/images/**'], []
[2016-03-13 22:04:57.266] log4j - 15988  INFO [localhost-startStop-1] --- DefaultSecurityFilterChain: Creating filter chain: Ant [pattern='/**/favicon.ico'], []
[2016-03-13 22:04:57.266] log4j - 15988  INFO [localhost-startStop-1] --- DefaultSecurityFilterChain: Creating filter chain: Ant [pattern='/error'], []
[2016-03-13 22:04:57.401] log4j - 15988  INFO [localhost-startStop-1] --- DefaultSecurityFilterChain: Creating filter chain: org.springframework.security.web.util.matcher.AnyRequestMatcher@1, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@4c38f1e8, org.springframework.security.web.context.SecurityContextPersistenceFilter@64454c70, org.springframework.security.web.header.HeaderWriterFilter@77d69397, org.springframework.security.web.csrf.CsrfFilter@79a520e7, org.springframework.security.web.authentication.logout.LogoutFilter@5dd41651, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@4a551867, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@78cb64e1, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@311a499d, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@12045a74, org.springframework.security.web.session.SessionManagementFilter@211102f9, org.springframework.security.web.access.ExceptionTranslationFilter@6365ce86, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@36127193]
[2016-03-13 22:04:57.431] log4j - 15988  INFO [localhost-startStop-1] --- DefaultSecurityFilterChain: Creating filter chain: OrRequestMatcher [requestMatchers=[Ant [pattern='/**']]], [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@dce8042, org.springframework.security.web.context.SecurityContextPersistenceFilter@232cc6e4, org.springframework.security.web.header.HeaderWriterFilter@7a105e3a, org.springframework.security.web.authentication.logout.LogoutFilter@18690e5a, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@5db7e055, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@35e1ac11, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@4df8d519, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@45a11969, org.springframework.security.web.session.SessionManagementFilter@6b77c66a, org.springframework.security.web.access.ExceptionTranslationFilter@6b20d35, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@4ba63052]
[2016-03-13 22:04:57.579] log4j - 15988  INFO [restartedMain] --- VersionPrinter: Flyway 3.2.1 by Boxfuse
[2016-03-13 22:04:57.628] log4j - 15988  WARN [restartedMain] --- ConnectionPool: maxIdle is larger than maxActive, setting maxIdle to: 50
[2016-03-13 22:04:58.150] log4j - 15988  INFO [restartedMain] --- DbSupportFactory: Database: jdbc:mysql://localhost/blog?useUnicode=true&characterEncoding=utf-8&useSSL=false (MySQL 5.6)
[2016-03-13 22:04:58.202] log4j - 15988  INFO [restartedMain] --- DbValidate: Validated 1 migration (execution time 00:00.037s)
[2016-03-13 22:04:58.237] log4j - 15988  INFO [restartedMain] --- DbMigrate: Current version of schema `blog`: 1
[2016-03-13 22:04:58.238] log4j - 15988  INFO [restartedMain] --- DbMigrate: Schema `blog` is up to date. No migration necessary.
[2016-03-13 22:04:58.439] log4j - 15988  INFO [restartedMain] --- LocalContainerEntityManagerFactoryBean: Building JPA container EntityManagerFactory for persistence unit 'default'
[2016-03-13 22:04:58.463] log4j - 15988  INFO [restartedMain] --- LogHelper: HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
[2016-03-13 22:04:58.735] log4j - 15988  INFO [restartedMain] --- Version: HHH000412: Hibernate Core {4.3.11.Final}
[2016-03-13 22:04:58.745] log4j - 15988  INFO [restartedMain] --- Environment: HHH000206: hibernate.properties not found
[2016-03-13 22:04:58.750] log4j - 15988  INFO [restartedMain] --- Environment: HHH000021: Bytecode provider name : javassist
[2016-03-13 22:04:59.412] log4j - 15988  INFO [restartedMain] --- Version: HCANN000001: Hibernate Commons Annotations {4.0.5.Final}
[2016-03-13 22:04:59.641] log4j - 15988  INFO [restartedMain] --- Dialect: HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
[2016-03-13 22:04:59.916] log4j - 15988  INFO [restartedMain] --- ASTQueryTranslatorFactory: HHH000397: Using ASTQueryTranslatorFactory
[2016-03-13 22:05:00.526] log4j - 15988  INFO [restartedMain] --- SchemaUpdate: HHH000228: Running hbm2ddl schema update
[2016-03-13 22:05:00.527] log4j - 15988  INFO [restartedMain] --- SchemaUpdate: HHH000102: Fetching database metadata
[2016-03-13 22:05:00.529] log4j - 15988  INFO [restartedMain] --- SchemaUpdate: HHH000396: Updating schema
[2016-03-13 22:05:00.558] log4j - 15988  INFO [restartedMain] --- TableMetadata: HHH000261: Table found: blog.archives
[2016-03-13 22:05:00.559] log4j - 15988  INFO [restartedMain] --- TableMetadata: HHH000037: Columns: [times, id]
[2016-03-13 22:05:00.559] log4j - 15988  INFO [restartedMain] --- TableMetadata: HHH000108: Foreign keys: []
[2016-03-13 22:05:00.559] log4j - 15988  INFO [restartedMain] --- TableMetadata: HHH000126: Indexes: [primary]
[2016-03-13 22:05:00.579] log4j - 15988  INFO [restartedMain] --- TableMetadata: HHH000261: Table found: blog.authorities
[2016-03-13 22:05:00.579] log4j - 15988  INFO [restartedMain] --- TableMetadata: HHH000037: Columns: [authority, username]
[2016-03-13 22:05:00.579] log4j - 15988  INFO [restartedMain] --- TableMetadata: HHH000108: Foreign keys: [authorities_ibfk_1]
[2016-03-13 22:05:00.579] log4j - 15988  INFO [restartedMain] --- TableMetadata: HHH000126: Indexes: [username]
[2016-03-13 22:05:00.593] log4j - 15988  INFO [restartedMain] --- TableMetadata: HHH000261: Table found: blog.blog_content
[2016-03-13 22:05:00.594] log4j - 15988  INFO [restartedMain] --- TableMetadata: HHH000037: Columns: [blog_content, id, blog_simple_content_id]
[2016-03-13 22:05:00.594] log4j - 15988  INFO [restartedMain] --- TableMetadata: HHH000108: Foreign keys: [blog_content_ibfk_1]
[2016-03-13 22:05:00.594] log4j - 15988  INFO [restartedMain] --- TableMetadata: HHH000126: Indexes: [blog_simple_content_id, primary]
[2016-03-13 22:05:00.607] log4j - 15988  INFO [restartedMain] --- TableMetadata: HHH000261: Table found: blog.blog_content_type
[2016-03-13 22:05:00.607] log4j - 15988  INFO [restartedMain] --- TableMetadata: HHH000037: Columns: [type_name, id]
[2016-03-13 22:05:00.608] log4j - 15988  INFO [restartedMain] --- TableMetadata: HHH000108: Foreign keys: []
[2016-03-13 22:05:00.608] log4j - 15988  INFO [restartedMain] --- TableMetadata: HHH000126: Indexes: [type_name, primary]
[2016-03-13 22:05:00.625] log4j - 15988  INFO [restartedMain] --- TableMetadata: HHH000261: Table found: blog.blog_simple_content
[2016-03-13 22:05:00.625] log4j - 15988  INFO [restartedMain] --- TableMetadata: HHH000037: Columns: [blog_type_id, blog_user, archives_id, blog_create_time, id, blog_title]
[2016-03-13 22:05:00.626] log4j - 15988  INFO [restartedMain] --- TableMetadata: HHH000108: Foreign keys: [blog_simple_content_ibfk_1, blog_simple_content_ibfk_2, blog_simple_content_ibfk_3]
[2016-03-13 22:05:00.626] log4j - 15988  INFO [restartedMain] --- TableMetadata: HHH000126: Indexes: [blog_type_id, blog_user, archives_id, primary]
[2016-03-13 22:05:00.642] log4j - 15988  INFO [restartedMain] --- TableMetadata: HHH000261: Table found: blog.contact
[2016-03-13 22:05:00.642] log4j - 15988  INFO [restartedMain] --- TableMetadata: HHH000037: Columns: [subject, id, contact_username, message, email]
[2016-03-13 22:05:00.643] log4j - 15988  INFO [restartedMain] --- TableMetadata: HHH000108: Foreign keys: []
[2016-03-13 22:05:00.643] log4j - 15988  INFO [restartedMain] --- TableMetadata: HHH000126: Indexes: [primary]
[2016-03-13 22:05:00.658] log4j - 15988  INFO [restartedMain] --- TableMetadata: HHH000261: Table found: blog.users
[2016-03-13 22:05:00.658] log4j - 15988  INFO [restartedMain] --- TableMetadata: HHH000037: Columns: [password, code, is_pass, enabled, username]
[2016-03-13 22:05:00.658] log4j - 15988  INFO [restartedMain] --- TableMetadata: HHH000108: Foreign keys: []
[2016-03-13 22:05:00.658] log4j - 15988  INFO [restartedMain] --- TableMetadata: HHH000126: Indexes: [primary]
[2016-03-13 22:05:00.659] log4j - 15988  INFO [restartedMain] --- SchemaUpdate: HHH000232: Schema update complete
[2016-03-13 22:05:00.952] log4j - 15988  INFO [restartedMain] --- ScriptUtils: Executing SQL script from URL [file:/D:/Documents/OneDrive/Documents/project/IntellijPro/blog/target/classes/data.sql]
[2016-03-13 22:05:00.968] log4j - 15988  INFO [restartedMain] --- ScriptUtils: Executed SQL script from URL [file:/D:/Documents/OneDrive/Documents/project/IntellijPro/blog/target/classes/data.sql] in 16 ms.
[2016-03-13 22:05:01.832] log4j - 15988  INFO [restartedMain] --- RequestMappingHandlerAdapter: Looking for @ControllerAdvice: org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@15f31ff8: startup date [Sun Mar 13 22:04:49 CST 2016]; root of context hierarchy
[2016-03-13 22:05:02.081] log4j - 15988  INFO [restartedMain] --- RequestMappingHandlerMapping: Mapped "{[/search]}" onto public java.lang.String com.zbeboy.blog.web.BlogController.search(java.lang.String,org.springframework.ui.ModelMap,javax.servlet.http.HttpServletRequest)
[2016-03-13 22:05:02.083] log4j - 15988  INFO [restartedMain] --- RequestMappingHandlerMapping: Mapped "{[/user/saveArticle],methods=[POST]}" onto public java.util.Map<java.lang.String, java.lang.Object> com.zbeboy.blog.web.BlogController.saveArtitcle(java.lang.String)
[2016-03-13 22:05:02.086] log4j - 15988  INFO [restartedMain] --- RequestMappingHandlerMapping: Mapped "{[/article]}" onto public java.lang.String com.zbeboy.blog.web.BlogController.singleArticle(int,org.springframework.ui.ModelMap,javax.servlet.http.HttpServletRequest)
[2016-03-13 22:05:02.086] log4j - 15988  INFO [restartedMain] --- RequestMappingHandlerMapping: Mapped "{[/articleDatas]}" onto public java.util.Map<java.lang.String, java.lang.Object> com.zbeboy.blog.web.BlogController.articleDatas(int,int,int)
[2016-03-13 22:05:02.087] log4j - 15988  INFO [restartedMain] --- RequestMappingHandlerMapping: Mapped "{[/saveContact]}" onto public java.lang.String com.zbeboy.blog.web.ContactController.contact(com.zbeboy.blog.domain.entity.ContactEntity,javax.servlet.http.HttpServletRequest,org.springframework.ui.ModelMap)
[2016-03-13 22:05:02.122] log4j - 15988  INFO [restartedMain] --- RequestMappingHandlerMapping: Mapped "{[/]}" onto public java.lang.String com.zbeboy.blog.web.MainController.home(org.springframework.ui.ModelMap,javax.servlet.http.HttpServletRequest)
[2016-03-13 22:05:02.122] log4j - 15988  INFO [restartedMain] --- RequestMappingHandlerMapping: Mapped "{[/full]}" onto public java.lang.String com.zbeboy.blog.web.MainController.blog(org.springframework.ui.ModelMap,javax.servlet.http.HttpServletRequest)
[2016-03-13 22:05:02.123] log4j - 15988  INFO [restartedMain] --- RequestMappingHandlerMapping: Mapped "{[/about]}" onto public java.lang.String com.zbeboy.blog.web.MainController.about(org.springframework.ui.ModelMap,javax.servlet.http.HttpServletRequest)
[2016-03-13 22:05:02.124] log4j - 15988  INFO [restartedMain] --- RequestMappingHandlerMapping: Mapped "{[/checkEmail]}" onto public java.util.Map<java.lang.String, java.lang.Object> com.zbeboy.blog.web.MainController.checkEmail(java.lang.String)
[2016-03-13 22:05:02.124] log4j - 15988  INFO [restartedMain] --- RequestMappingHandlerMapping: Mapped "{[/user/sendBlog]}" onto public java.lang.String com.zbeboy.blog.web.MainController.sendBlog(org.springframework.ui.ModelMap,javax.servlet.http.HttpServletRequest)
[2016-03-13 22:05:02.124] log4j - 15988  INFO [restartedMain] --- RequestMappingHandlerMapping: Mapped "{[/startCaptcha],methods=[GET]}" onto public java.lang.String com.zbeboy.blog.web.MainController.startCaptcha(javax.servlet.http.HttpServletRequest)
[2016-03-13 22:05:02.125] log4j - 15988  INFO [restartedMain] --- RequestMappingHandlerMapping: Mapped "{[/verifyCaptcha],methods=[POST]}" onto public com.zbeboy.blog.data.AjaxData com.zbeboy.blog.web.MainController.verifyCaptcha(javax.servlet.http.HttpServletRequest)
[2016-03-13 22:05:02.128] log4j - 15988  INFO [restartedMain] --- RequestMappingHandlerMapping: Mapped "{[/login],methods=[GET]}" onto public java.lang.String com.zbeboy.blog.web.MainController.login(org.springframework.ui.ModelMap,javax.servlet.http.HttpServletRequest)
[2016-03-13 22:05:02.128] log4j - 15988  INFO [restartedMain] --- RequestMappingHandlerMapping: Mapped "{[/contact]}" onto public java.lang.String com.zbeboy.blog.web.MainController.contact(org.springframework.ui.ModelMap,javax.servlet.http.HttpServletRequest)
[2016-03-13 22:05:02.129] log4j - 15988  INFO [restartedMain] --- RequestMappingHandlerMapping: Mapped "{[/loginError],methods=[GET]}" onto public java.lang.String com.zbeboy.blog.web.MainController.loginError(org.springframework.ui.ModelMap,javax.servlet.http.HttpServletRequest)
[2016-03-13 22:05:02.130] log4j - 15988  INFO [restartedMain] --- RequestMappingHandlerMapping: Mapped "{[/regist]}" onto public java.util.Map<java.lang.String, java.lang.Object> com.zbeboy.blog.web.MainController.regist(com.zbeboy.blog.vo.RegistVo,org.springframework.validation.BindingResult)
[2016-03-13 22:05:02.134] log4j - 15988  INFO [restartedMain] --- RequestMappingHandlerMapping: Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
[2016-03-13 22:05:02.135] log4j - 15988  INFO [restartedMain] --- RequestMappingHandlerMapping: Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
[2016-03-13 22:05:02.246] log4j - 15988  INFO [restartedMain] --- SimpleUrlHandlerMapping: Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
